title;Latitud;Longitud;price;dimensions;bedrooms;bathrooms;year_built;parking;AreaBBQ;Gimnasio;Oficina;AreasVerdes;Terraza;Jacuzzi;Sauna;Piscina;Balcon;Chimenea;CocinaEquipada;PorteroElectrico;ArmarioEmpotrado;CocinaAmoblada;CuotaMantenimiento;ZonaNinos;CanchaTenis;SeguridadPrivada;CasetaVigilancia;SistemaAlarma;Amueblado;Piso;Bodega;Estado
Casa en venta Santa Cruz, Galápagos;-1.3080939;-90.43262489;600.000 $;300m2;5 Habitaciones;5 Baños;1.999;;;;;;yes;;;;;;;;;;;;;;;;Amueblado;;yes;
Hacienda-Quinta en venta Santa Cruz, Galápagos;-0.533333;-90.35;6.000.000 $;790m2;6 Habitaciones;6 Baños;;;;;;;;;;;;;;;;;yes;;;;;;;;;
