title;Latitud;Longitud;price;dimensions;year_built;parking;AreaBBQ;Gimnasio;Oficina;AreasVerdes;Terraza;Jacuzzi;Sauna;Piscina;Balcon;Chimenea;CocinaEquipada;PorteroElectrico;ArmarioEmpotrado;CocinaAmoblada;CuotaMantenimiento;ZonaNinos;CanchaTenis;SeguridadPrivada;CasetaVigilancia;SistemaAlarma;Amueblado;Piso;Bodega;Estado
Terreno Residencial en venta Calle Charles Darwin, Puerto Ayora, Santa Cruz, Ecu;-0.74208459;-90.31006363;5.000.000 $;M2 de parcela: 3.000;;yes;;;;;;;;;;;;;;;;;;;yes;;;;yes;
Terreno Residencial en venta Galapagos Island, Santa Cruz, Ecuador;-0.6393592;-90.3371889;180.000 $;M2 de parcela: 10.000;;yes;;;;;;;;;;;;;;;;;;;;;;;yes;
